URG;Descricao;2022;2023;2024;2025;Total
URG I-CENTRO;ALUNOS CADASTRADOS;9273;8573;7968;8525;34339
URG I-CENTRO;ALUNOS ATENDIDOS;114;6590;6036;7293;20033
URG I-CENTRO;AVAL. PROFESSORES;87;6017;5569;6871;18544
URG I-CENTRO;AVAL. PSCÓLOGOS;96;5399;1747;2244;9486
URG I-CENTRO;AVAL. ASSIST. SOCIAIS;94;5710;5195;5651;16650
URG I-CENTRO;AVAL. ENFERMAGEM;99;5635;5341;5864;16939
URG I-CENTRO;AVAL. MÉDICAS;67;3176;2368;2462;8073
URG I-CENTRO;ALUNOS VACINADOS;48;1710;1332;1404;4494
URG I-CENTRO;VACINAS APLICADAS;61;2106;1707;1897;5771
URG I-CENTRO;ENCAMINHAMENTOS;7;795;744;1582;3128
URG I-CENTRO;EXAMES;2;660;606;1014;2282
URG III-COMENDADOR SOARES;ALUNOS CADASTRADOS;5576;5356;5271;5556;21759
URG III-COMENDADOR SOARES;ALUNOS ATENDIDOS;0;4261;4575;4376;13212
URG III-COMENDADOR SOARES;AVAL. PROFESSORES;0;3878;3895;3676;11449
URG III-COMENDADOR SOARES;AVAL. PSCÓLOGOS;0;3729;3704;997;8430
URG III-COMENDADOR SOARES;AVAL. ASSIST. SOCIAIS;0;3753;3698;3626;11077
URG III-COMENDADOR SOARES;AVAL. ENFERMAGEM;0;3919;3941;3824;11684
URG III-COMENDADOR SOARES;AVAL. MÉDICAS;0;2356;2096;2039;6491
URG III-COMENDADOR SOARES;ALUNOS VACINADOS;0;1547;1493;738;3778
URG III-COMENDADOR SOARES;VACINAS APLICADAS;0;1657;2676;966;5299
URG III-COMENDADOR SOARES;ENCAMINHAMENTOS;0;858;677;724;2259
URG III-COMENDADOR SOARES;EXAMES;0;693;662;578;1933
URG II-POSSE;ALUNOS CADASTRADOS;7341;6761;6480;6919;27501
URG II-POSSE;ALUNOS ATENDIDOS;5776;4375;5177;5733;21061
URG II-POSSE;AVAL. PROFESSORES;4334;3705;4848;5428;18315
URG II-POSSE;AVAL. PSCÓLOGOS;4941;3474;1867;1854;12136
URG II-POSSE;AVAL. ASSIST. SOCIAIS;4542;3439;4520;4393;16894
URG II-POSSE;AVAL. ENFERMAGEM;4876;3525;4698;4470;17569
URG II-POSSE;AVAL. MÉDICAS;2660;1678;1991;1892;8221
URG II-POSSE;ALUNOS VACINADOS;1761;918;1199;1046;4924
URG II-POSSE;VACINAS APLICADAS;2774;1106;1548;1462;6890
URG II-POSSE;ENCAMINHAMENTOS;840;388;703;1293;3224
URG II-POSSE;EXAMES;587;401;539;926;2453
URG IV-CABUÇU;ALUNOS CADASTRADOS;10178;10645;10936;11362;43121
URG IV-CABUÇU;ALUNOS ATENDIDOS;0;8779;8987;9529;27295
URG IV-CABUÇU;AVAL. PROFESSORES;0;7448;7560;8715;23723
URG IV-CABUÇU;AVAL. PSCÓLOGOS;0;7131;5052;1139;13322
URG IV-CABUÇU;AVAL. ASSIST. SOCIAIS;0;7399;7473;7663;22535
URG IV-CABUÇU;AVAL. ENFERMAGEM;0;7528;7396;7988;22912
URG IV-CABUÇU;AVAL. MÉDICAS;0;4345;3692;3519;11556
URG IV-CABUÇU;ALUNOS VACINADOS;0;2777;2091;2504;7372
URG IV-CABUÇU;VACINAS APLICADAS;0;3402;2585;3190;9177
URG IV-CABUÇU;ENCAMINHAMENTOS;0;1262;1267;1384;3913
URG IV-CABUÇU;EXAMES;0;1125;1114;913;3152
URG IX-TINGUA;ALUNOS CADASTRADOS;1635;1665;1515;1510;6325
URG IX-TINGUA;ALUNOS ATENDIDOS;1128;950;1098;1256;4432
URG IX-TINGUA;AVAL. PROFESSORES;838;524;985;1198;3545
URG IX-TINGUA;AVAL. PSCÓLOGOS;961;663;333;200;2157
URG IX-TINGUA;AVAL. ASSIST. SOCIAIS;977;681;937;995;3590
URG IX-TINGUA;AVAL. ENFERMAGEM;974;706;972;993;3645
URG IX-TINGUA;AVAL. MÉDICAS;461;178;238;310;1187
URG IX-TINGUA;ALUNOS VACINADOS;170;79;156;223;628
URG IX-TINGUA;VACINAS APLICADAS;273;87;211;340;911
URG IX-TINGUA;ENCAMINHAMENTOS;254;69;118;178;619
URG IX-TINGUA;EXAMES;202;57;93;147;499
URG VI-AUSTIN;ALUNOS CADASTRADOS;8643;7795;8028;7927;32393
URG VI-AUSTIN;ALUNOS ATENDIDOS;0;6391;6867;6735;19993
URG VI-AUSTIN;AVAL. PROFESSORES;0;5635;5810;6109;17554
URG VI-AUSTIN;AVAL. PSCÓLOGOS;0;5638;5396;1468;12502
URG VI-AUSTIN;AVAL. ASSIST. SOCIAIS;0;5573;5669;5624;16866
URG VI-AUSTIN;AVAL. ENFERMAGEM;0;5831;5633;5849;17313
URG VI-AUSTIN;AVAL. MÉDICAS;0;2965;3015;2636;8616
URG VI-AUSTIN;ALUNOS VACINADOS;0;2165;2004;1676;5845
URG VI-AUSTIN;VACINAS APLICADAS;0;2486;2606;2393;7485
URG VI-AUSTIN;ENCAMINHAMENTOS;0;753;989;925;2667
URG VI-AUSTIN;EXAMES;0;582;992;758;2332
URG VIII-MIGUEL COUTO;ALUNOS CADASTRADOS;6021;6043;6029;5978;29981
URG VIII-MIGUEL COUTO;ALUNOS ATENDIDOS;0;4776;4969;4778;19643
URG VIII-MIGUEL COUTO;AVAL. PROFESSORES;0;4073;3069;4305;16137
URG VIII-MIGUEL COUTO;AVAL. PSCÓLOGOS;0;4178;3998;423;12471
URG VIII-MIGUEL COUTO;AVAL. ASSIST. SOCIAIS;0;4166;3983;4044;15376
URG VIII-MIGUEL COUTO;AVAL. ENFERMAGEM;0;4384;4203;4108;16642
URG VIII-MIGUEL COUTO;AVAL. MÉDICAS;0;2504;1669;1675;7408
URG VIII-MIGUEL COUTO;ALUNOS VACINADOS;0;1224;856;554;2962
URG VIII-MIGUEL COUTO;VACINAS APLICADAS;0;1399;1121;674;3675
URG VIII-MIGUEL COUTO;ENCAMINHAMENTOS;0;1338;463;697;3586
URG VIII-MIGUEL COUTO;EXAMES;0;725;561;496;2562
URG VII-VILA DE CAVA;ALUNOS CADASTRADOS;5370;5396;5529;5234;26567
URG VII-VILA DE CAVA;ALUNOS ATENDIDOS;224;4199;4129;3736;14440
URG VII-VILA DE CAVA;AVAL. PROFESSORES;108;3754;3055;3317;12230
URG VII-VILA DE CAVA;AVAL. PSCÓLOGOS;147;3535;3192;454;8952
URG VII-VILA DE CAVA;AVAL. ASSIST. SOCIAIS;189;3593;3349;3137;11686
URG VII-VILA DE CAVA;AVAL. ENFERMAGEM;207;3770;3523;3309;12555
URG VII-VILA DE CAVA;AVAL. MÉDICAS;120;2112;1775;1413;6125
URG VII-VILA DE CAVA;ALUNOS VACINADOS;44;1022;847;426;2499
URG VII-VILA DE CAVA;VACINAS APLICADAS;71;1117;1125;511;3088
URG VII-VILA DE CAVA;ENCAMINHAMENTOS;40;867;494;635;2559
URG VII-VILA DE CAVA;EXAMES;47;639;524;437;2017
URG V-KM 32;ALUNOS CADASTRADOS;10525;10154;9930;10434;41043
URG V-KM 32;ALUNOS ATENDIDOS;0;7943;7828;8726;24497
URG V-KM 32;AVAL. PROFESSORES;0;6903;7003;7904;21810
URG V-KM 32;AVAL. PSCÓLOGOS;0;6949;3274;743;10966
URG V-KM 32;AVAL. ASSIST. SOCIAIS;0;6889;6583;6822;20294
URG V-KM 32;AVAL. ENFERMAGEM;0;7160;6852;7134;21146
URG V-KM 32;AVAL. MÉDICAS;0;3944;3357;2846;10147
URG V-KM 32;ALUNOS VACINADOS;0;2634;1925;1829;6388
URG V-KM 32;VACINAS APLICADAS;0;2975;2304;2289;7568
URG V-KM 32;ENCAMINHAMENTOS;0;1509;1052;1121;3682
URG V-KM 32;EXAMES;0;1262;902;801;2965
